Company,Valuation ($B),Date Joined,Country,Industry,Select Investors
Sweetgreen,$1.60,11/13/2018,United States,Consumer & retail,"Red Sea Ventures, Fidelity Investments, Revolution"
Netskope,$3,11/13/2018,United States,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel"
Roivant Sciences,$9.09,11/13/2018,United States,Health,"SoftBankGroup, Founders Fund"
TripActions,$4,11/8/2018,United States,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
Bitfury,$1,11/6/2018,Netherlands,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
Zume Pizza,$2.25,11/1/2018,United States,Consumer & retail,"Softbank Group, AME Cloud Ventures, SignalFire"
HashiCorp,$5.10,11/1/2018,United States,Internet software & services,"Redpoint Ventures, True Ventures, Mayfield Fund"
Monzo,$1.57,10/31/2018,United Kingdom,Fintech,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Epic Games,$15,10/26/2018,United States,Other,"Tencent Holdings, KKR, Smash Ventures"
Terminus Technologies,$1,10/25/2018,China,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK"
Omio,$1,10/23/2018,Germany,Travel,"Lakestar, Battery Ventures, New Enterprise Associates"
Kuayue Express,$2.88,10/23/2018,China,"Supply chain, logistics, & delivery","Sequoia Capital China, Eastern Bell Capital"
GPClub,$1.32,10/22/2018,South Korea,Other,Goldman Sachs
Pax Labs,$1.70,10/22/2018,United States,Consumer & retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Hosjoy,$1,10/18/2018,China,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Momenta,$1,10/17/2018,China,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
Devoted Health,$1.80,10/16/2018,United States,Health,"Andreessen Horowitz, F-Prime Capital, Venrock"
Linklogis,$1.05,10/15/2018,China,Fintech,"Bertelsmann Asia Investments, Loyal Valley Capital, Tencent Holdings"
Allbirds,$1.40,10/11/2018,United States,E-commerce & direct-to-consumer,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
Tresata,$1,10/10/2018,United States,Fintech,GCP Capital Partners
Cloudwalk,$3.32,10/8/2018,China,Artificial intelligence,"Oriza Holdings, Guangdong Technology Financial Group"
Brex,$3,10/5/2018,United States,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
ZipRecruiter,$1,10/4/2018,United States,Artificial intelligence,"Basepoint Ventures,Industry Ventures, and Institutional Venture Partners"
JFrog,$1.50,10/4/2018,United States,Internet software & services,"Gemini Israel Ventures, VMware, Battery Ventures"
TalkDesk,$1,10/3/2018,United States,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures"
MINISO Life,$2.20,9/30/2018,China,Consumer & retail,"Hillhouse Capital Management, and Tencent Holdings"
Oyo Rooms,$10,9/25/2018,India,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
Convoy,$2.75,9/21/2018,United States,"Supply chain, logistics, & delivery","Greylock Partners, capitalG, Y Combinator"
WalkMe,$1,9/20/2018,United States,Internet software & services,"Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital"
Yijiupi (易久批),$1.10,9/20/2018,China,Consumer & retail,"Source Code Capital, Meituan Dianping, Tencent Holdings"
GitLab,$2.77,9/19/2018,United States,Internet software & services,"Google Ventures, ICONIQ Capital, Khosla Ventures"
Nxin (农信互联),$1,9/18/2018,China,Internet software & services,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
Aijia Life,$1,9/17/2018,China,Other,"Tiantu Capital, Fortune Capital, Zhenghedao Fund"
Tuhu,$1.16,9/15/2018,China,Auto & transportation,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon"
Banma Network Technologies,$1,9/13/2018,China,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital"
Branch,$1,9/10/2018,United States,Mobile & telecommunications,"New Enterprise Associates, Pear, Cowboy Ventures"
Roblox,$4,9/4/2018,United States,Internet software & services,"Atlos Ventures, Index Ventures, First Round Capital"
Udaan,$2.30,9/3/2018,India,"Supply chain, logistics, & delivery","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Rappi,$1,8/31/2018,Colombia,"Supply chain, logistics, & delivery","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
Shansong Express (FlashEx),$1,8/27/2018,China,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management"
Root Insurance,$3.65,8/22/2018,United States,Fintech,"Tiger Global Management, Ribbit Capital, Redpoint Ventures"
Krafton Game Union,$5,8/9/2018,South Korea,Other,"Tencent Holdings, Stonebridge Capital, IMM Investment"
Klook,$1,8/7/2018,Hong Kong,Travel,"Sequoia Capital China, Goldman Sachs, Matrix Partners China"
GoodRx,$2.80,8/6/2018,United States,Health,"Silver Lake Partners, SV Angel, Upfront Ventures"
Samumed,$12,8/6/2018,United States,Health,"Vickers Venture Partners, IKEA GreenTech"
Deezer,$1.40,8/2/2018,France,Internet software & services,"Orange Digital Ventures, Access Industries"
XPeng Motors,$4,8/2/2018,China,Auto & transportation,"Morningside Venture Capital, Foxconn Technology Company, Alibaba Group"
Formlabs,$1.06,8/1/2018,United States,Hardware,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Medlinker,$1,7/31/2018,China,Health,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
LegalZoom,$2,7/31/2018,United States,Internet software & services,"K1 Capital, Francisco Partners, Neuberger Berman"
